#
#   DShield.org Recommended Block List 
#    (c) $year DShield.org
#   some rights reserved. Details http://creativecommons.org/licenses/by-nc-sa/2.5/
#   use on your own risk. No warranties implied.
#   primary URL: https://feeds.dshield.org/block.txt
#     PGP Sign.: https://feeds.dshield.org/block.txt.asc
#
#   comments: systems@isc.sans.edu
#    updated: 2026-09-09T17:46:03.634119
#   
#    This list summarizes the top 20 attacking class C (/24) subnets
#   over the last three days. The number of 'attacks' indicates the 
#   number of targets reporting scans from this subnet.
#
#
#    Columns (tab delimited):
#
#    (1) start of netblock  
#    (2) end of netblock
#    (3) subnet (/24 for class C)
#    (4) number of targets scanned
#    (5) name of Network 
#    (6) Country
#    (7) contact email address
#
#    If a range is assigned to multiple users, the first one is listed. 
#     
45.33.41.0	45.33.41.255	24	887	AKAMAI-LINODE-AP Akamai Connected Cloud	SG	tasaro@linode.com
65.49.1.0	65.49.1.255	24	344	HURRICANE	US	abuse@he.net
16.5.0.0	16.5.0.255	24	341	-	-	-
205.210.31.0	205.210.31.255	24	334	GOOGLE-CLOUD-PLATFORM	US	None
147.185.132.0	147.185.132.255	24	332	GOOGLE-CLOUD-PLATFORM	US	None
198.235.24.0	198.235.24.255	24	331	GOOGLE-CLOUD-PLATFORM	US	None
204.76.203.0	204.76.203.255	24	329	INTELLIGENCE-ATOM-HOSTING	KN	None
85.217.140.0	85.217.140.255	24	326	NETERRA-AS	BG	abuse@neterra.net
66.132.186.0	66.132.186.255	24	325	-	-	-
64.62.156.0	64.62.156.255	24	322	HURRICANE	US	abuse@he.net
195.184.76.0	195.184.76.255	24	322	EAJ-GLOBAL	GB	>>UNKNOWN<<
45.194.67.0	45.194.67.255	24	320	Africa-on-Cloud-AS	ZA	>>UNKNOWN<<
66.132.172.0	66.132.172.255	24	320	-	-	-
85.217.149.0	85.217.149.255	24	320	MAYAK	BG	ripe@mayak.bg
193.163.125.0	193.163.125.255	24	320	INTERNET-MEASUREMENT	GB	>>UNKNOWN<<
66.132.195.0	66.132.195.255	24	319	-	-	-
45.156.128.0	45.156.128.255	24	318	AS-BITSIGHT	PT	>>UNKNOWN<<
172.110.223.0	172.110.223.255	24	318	-	-	-
199.45.154.0	199.45.154.255	24	318	CENSYS-ARIN-03	US	None
167.94.145.0	167.94.145.255	24	317	CENSYS-ARIN-02	US	None
